ORDER	Wavelength (nm)	X0	Y0	X1	Y1	X2	Y2	Sampling (pixels)	R
77	1573.18	11.215	-9.79	11.222	-11.148	11.187	-8.43	2.432177	102131
77	1571.13	15.962	-9.664	15.983	-11.022	15.92	-8.306	2.342481	101665
77	1569.08	20.537	-9.472	20.571	-10.828	20.483	-8.116	2.26313	101699
77	1567.04	24.961	-9.22	25.008	-10.574	24.895	-7.865	2.19245	101485
77	1564.99	29.248	-8.913	29.307	-10.265	29.171	-7.56	2.129153	102474
78	1564.99	-21.929	-12.028	-22.023	-13.385	-21.866	-10.666	3.376365	99488
78	1563.0	-15.522	-12.533	-15.597	-13.891	-15.477	-11.172	3.138217	103357
78	1561.01	-9.54	-12.885	-9.596	-14.244	-9.511	-11.524	2.945486	102868
78	1559.01	-3.905	-13.11	-3.944	-14.469	-3.892	-11.75	2.78564	102646
78	1557.02	1.437	-13.228	1.415	-14.587	1.436	-11.868	2.650472	102433
78	1555.02	6.531	-13.253	6.523	-14.611	6.515	-11.894	2.534385	102220
78	1553.03	11.408	-13.198	11.416	-14.555	11.38	-11.84	2.433428	102263
78	1551.04	16.097	-13.07	16.118	-14.426	16.055	-11.714	2.344727	101806
78	1549.04	20.619	-12.878	20.653	-14.232	20.565	-11.523	2.266148	101591
78	1547.05	24.992	-12.628	25.039	-13.98	24.926	-11.275	2.196068	101622
78	1545.06	29.231	-12.324	29.291	-13.675	29.153	-10.973	2.133234	102855
79	1545.06	-21.257	-15.424	-21.352	-16.781	-21.195	-14.064	3.358992	99025
79	1543.11	-14.96	-15.901	-15.034	-17.259	-14.914	-14.541	3.127165	103063
79	1541.17	-9.07	-16.233	-9.126	-17.59	-9.042	-14.873	2.938729	103103
79	1539.23	-3.518	-16.443	-3.556	-17.8	-3.504	-15.083	2.781914	102619
79	1537.28	1.752	-16.55	1.73	-17.907	1.751	-15.191	2.648954	102421
79	1535.34	6.78	-16.567	6.772	-17.924	6.764	-15.21	2.534515	102471
79	1533.4	11.597	-16.507	11.604	-17.863	11.568	-15.151	2.434811	101985
79	1531.45	16.229	-16.377	16.251	-17.732	16.187	-15.022	2.34708	101782
79	1529.51	20.699	-16.185	20.734	-17.539	20.644	-14.832	2.269257	101843
79	1527.57	25.023	-15.937	25.07	-17.289	24.956	-14.586	2.19977	101361
79	1525.62	29.216	-15.637	29.276	-16.987	29.138	-14.288	2.137398	102320
80	1525.62	-20.608	-18.722	-20.702	-20.078	-20.544	-17.363	3.342678	99717
80	1523.73	-14.414	-19.173	-14.488	-20.53	-14.369	-17.814	3.116798	103141
80	1521.83	-8.614	-19.485	-8.67	-20.842	-8.586	-18.126	2.932431	102917
80	1519.94	-3.14	-19.68	-3.179	-21.037	-3.127	-18.322	2.778505	102700
80	1518.04	2.059	-19.777	2.036	-21.134	2.057	-18.42	2.64766	102487
80	1516.15	7.022	-19.788	7.015	-21.144	7.006	-18.431	2.534809	102277
80	1514.25	11.78	-19.723	11.788	-21.079	11.751	-18.368	2.43632	102080
80	1512.36	16.359	-19.592	16.38	-20.946	16.316	-18.238	2.349533	101869
80	1510.46	20.777	-19.4	20.812	-20.753	20.722	-18.048	2.272451	101649
80	1508.57	25.053	-19.154	25.102	-20.505	24.986	-17.803	2.203548	101457
80	1506.67	29.202	-18.857	29.262	-20.207	29.123	-17.509	2.141637	102417
81	1506.67	-19.978	-21.927	-20.072	-23.283	-19.915	-20.568	3.327334	99424
81	1504.82	-13.885	-22.353	-13.959	-23.709	-13.839	-20.994	3.107062	103034
81	1502.97	-8.171	-22.646	-8.227	-24.003	-8.143	-21.288	2.926558	102814
81	1501.12	-2.774	-22.828	-2.812	-24.185	-2.761	-21.471	2.775393	102877
81	1499.28	2.357	-22.915	2.335	-24.271	2.355	-21.558	2.646579	102676
81	1497.43	7.258	-22.919	7.251	-24.275	7.242	-21.564	2.535259	102186
81	1495.58	11.959	-22.851	11.967	-24.206	11.93	-21.496	2.437949	101989
81	1493.73	16.485	-22.718	16.507	-24.071	16.442	-21.364	2.352082	101782
81	1491.88	20.854	-22.526	20.89	-23.878	20.799	-21.174	2.275726	101571
81	1490.03	25.084	-22.282	25.133	-23.632	25.017	-20.932	2.2074	101374
81	1488.18	29.189	-21.989	29.25	-23.338	29.109	-20.641	2.145945	102586
82	1488.18	-19.367	-25.043	-19.461	-26.398	-19.304	-23.684	3.312881	99775
82	1486.38	-13.37	-25.445	-13.445	-26.801	-13.325	-24.087	3.097911	103299
82	1484.58	-7.741	-25.721	-7.796	-27.077	-7.712	-24.363	2.921084	102800
82	1482.77	-2.417	-25.89	-2.455	-27.247	-2.404	-24.533	2.77256	102605
82	1480.97	2.648	-25.968	2.626	-27.324	2.646	-24.611	2.645699	102391
82	1479.16	7.488	-25.966	7.482	-27.321	7.472	-24.611	2.535859	102182
82	1477.36	12.134	-25.894	12.142	-27.248	12.105	-24.54	2.439693	102271
82	1475.56	16.608	-25.759	16.631	-27.112	16.566	-24.406	2.354723	101790
82	1473.75	20.93	-25.568	20.966	-26.92	20.874	-24.216	2.279079	101588
82	1471.95	25.115	-25.325	25.163	-26.676	25.047	-23.976	2.21132	101659
82	1470.15	29.177	-25.036	29.238	-26.385	29.097	-23.688	2.150318	102857
83	1470.15	-18.775	-28.074	-18.869	-29.43	-18.712	-26.715	3.29925	99090
83	1468.38	-12.871	-28.454	-12.945	-29.811	-12.826	-27.096	3.089305	102809
83	1466.62	-7.322	-28.714	-7.377	-30.07	-7.293	-27.356	2.915983	102897
83	1464.86	-2.069	-28.871	-2.108	-30.227	-2.056	-27.513	2.769991	102692
83	1463.1	2.931	-28.94	2.909	-30.296	2.929	-27.583	2.645012	102480
83	1461.34	7.713	-28.932	7.707	-30.288	7.697	-27.577	2.536605	102280
83	1459.58	12.305	-28.856	12.313	-30.211	12.275	-27.502	2.441549	102080
83	1457.82	16.729	-28.72	16.752	-30.074	16.686	-27.367	2.357454	101882
83	1456.06	21.004	-28.529	21.04	-29.882	20.948	-27.178	2.282506	101681
83	1454.3	25.145	-28.289	25.194	-29.64	25.077	-26.939	2.215305	101481
83	1452.54	29.166	-28.003	29.228	-29.352	29.085	-26.655	2.15475	102674
