ORDER	Wavelength (nm)	X0	Y0	X1	Y1	X2	Y2	Sampling (pixels)
121	1006.530836	-14.036505	-10.113292	-14.054822	-11.230684	-14.043227	-8.990859	2.796516
121	1005.702416	-10.541721	-10.368461	-10.550558	-11.486474	-10.556978	-9.245882	2.697895
121	1004.873996	-7.167252	-10.567545	-7.166969	-11.685852	-7.190762	-9.445086	2.608786
121	1004.045575	-3.901968	-10.715998	-3.892892	-11.834304	-3.933474	-9.5939	2.52773
121	1003.217155	-0.736392	-10.81843	-0.71882	-11.936471	-0.775657	-9.696911	2.453563
121	1002.388734	2.337623	-10.878776	2.363417	-11.996312	2.290817	-9.758037	2.385343
121	1001.560314	5.327138	-10.900428	5.360904	-12.017239	5.272994	-9.780651	2.322296
121	1000.731893	8.238324	-10.88633	8.279827	-12.002214	8.17703	-9.767684	2.26378
121	999.903473	11.076603	-10.839057	11.125625	-11.953828	11.008334	-9.721698	2.209258
121	999.075052	13.846771	-10.760874	13.903108	-11.87436	13.771694	-9.644948	2.158278
121	998.246632	16.553093	-10.653787	16.616554	-11.765827	16.471362	-9.53943	2.110452
122	998.246632	-13.69709	-12.716643	-13.715318	-13.830707	-13.703853	-11.597576	2.79162
122	997.431737	-10.236439	-12.96358	-10.245265	-14.078248	-10.25167	-11.84438	2.69419
122	996.616842	-6.89375	-13.155696	-6.893525	-14.270646	-6.917173	-12.036624	2.606066
122	995.801946	-3.658211	-13.29827	-3.649256	-14.413213	-3.689575	-12.17956	2.525836
122	994.987051	-0.520604	-13.39577	-0.503212	-14.510447	-0.559676	-12.277637	2.452367
122	994.172156	2.527005	-13.452019	2.552566	-14.566194	2.48044	-12.334658	2.384741
122	993.357261	5.491504	-13.470313	5.524986	-14.583769	5.437647	-12.353904	2.322204
122	992.542366	8.378916	-13.453517	8.420088	-14.566055	8.317952	-12.338225	2.26413
122	991.72747	11.194541	-13.404139	11.243186	-14.515576	11.126644	-12.290118	2.209993
122	990.912575	13.943069	-13.324387	13.998986	-14.434553	13.868403	-12.211781	2.15935
122	990.09768	16.628676	-13.21622	16.691675	-14.324956	16.547396	-12.105161	2.111821
123	990.09768	-13.363984	-15.265165	-13.38212	-16.375925	-13.370791	-14.149429	2.786748
123	989.295981	-9.936898	-15.504146	-9.945708	-16.615492	-9.952107	-14.388289	2.690485
123	988.494283	-6.625483	-15.689526	-6.625311	-16.801144	-6.648824	-14.573803	2.60333
123	987.692584	-3.419236	-15.826417	-3.410398	-16.938023	-3.450463	-14.711058	2.523911
123	986.890886	-0.309191	-15.919155	-0.291973	-17.030493	-0.348074	-14.804369	2.451128
123	986.089187	2.712384	-15.971449	2.737717	-17.082287	2.666057	-14.857429	2.384088
123	985.287489	5.652207	-15.986505	5.685409	-17.09663	5.598632	-14.873427	2.322055
123	984.48579	8.516157	-15.967113	8.557	-17.076328	8.455519	-14.855139	2.264416
123	983.684092	11.309414	-15.915714	11.357685	-17.02384	11.241885	-14.804997	2.210659
123	982.882393	14.036567	-15.834465	14.092066	-16.941332	13.962309	-14.725144	2.160349
123	982.080695	16.701703	-15.725274	16.764242	-16.830726	16.62087	-14.617481	2.113113
124	982.080695	-13.037028	-17.760408	-13.05507	-18.867882	-13.043883	-16.647972	2.781899
124	981.291875	-9.642951	-17.991697	-9.651742	-19.099741	-9.658143	-16.879151	2.686782
124	980.503055	-6.362316	-18.170566	-6.362194	-19.278871	-6.385579	-17.058159	2.600578
124	979.714235	-3.184918	-18.301965	-3.176193	-19.410252	-3.216011	-17.189923	2.521957
124	978.925415	-0.102032	-18.390099	-0.084986	-19.498118	-0.14073	-17.278628	2.44985
124	978.136595	2.893875	-18.438575	2.91898	-19.546095	2.84778	-17.327863	2.383387
124	977.347776	5.809354	-18.450509	5.842278	-19.557321	5.756058	-17.34073	2.32185
124	976.558956	8.650149	-18.428616	8.690666	-19.534527	8.589833	-17.31993	2.264641
124	975.770136	11.421321	-18.375279	11.469219	-19.48011	11.354156	-17.267834	2.211259
124	974.981316	14.127359	-18.292597	14.182442	-19.396182	14.053507	-17.186533	2.161277
124	974.192496	16.772265	-18.182436	16.834346	-19.28462	16.691877	-17.077881	2.114331
125	974.192496	-12.716069	-20.203863	-12.734013	-21.308064	-12.722975	-19.094699	2.777076
125	973.416247	-9.354458	-20.427715	-9.363226	-21.532471	-9.369635	-19.318451	2.683081
125	972.639998	-6.104117	-20.600286	-6.104042	-21.705293	-6.127307	-19.491166	2.597811
125	971.863749	-2.955133	-20.726374	-2.946518	-21.831359	-2.986097	-19.617621	2.519974
125	971.0875	0.100987	-20.81006	0.117864	-21.914774	0.06247	-19.701875	2.448533
125	970.311251	3.071583	-20.854847	3.096465	-21.959065	3.025719	-19.747415	2.382639
125	969.535002	5.963048	-20.863769	5.995697	-21.967283	5.910028	-19.75726	2.321591
125	968.758753	8.780988	-20.839468	8.821181	-21.942088	8.720992	-19.734041	2.264807
125	967.982504	11.530353	-20.784267	11.577882	-21.885817	11.46355	-19.680069	2.211795
125	967.206255	14.215535	-20.700216	14.270204	-21.800531	14.142084	-19.597382	2.162137
125	966.430006	16.84045	-20.589134	16.902075	-21.688062	16.760503	-19.487792	2.115477
126	966.430006	-12.400958	-22.59696	-12.418802	-23.697899	-12.407917	-21.491045	2.772278
126	965.66603	-9.071279	-22.813619	-9.080023	-23.915098	-9.086445	-21.707614	2.679384
126	964.902054	-5.85076	-22.980099	-5.850729	-24.081819	-5.873879	-21.874243	2.59503
126	964.138077	-2.729764	-23.101051	-2.721256	-24.202743	-2.760602	-21.995562	2.517965
126	963.374101	0.299976	-23.180436	0.316687	-24.281856	0.261637	-22.075512	2.447179
126	962.610125	3.245614	-23.22166	3.270275	-24.322585	3.199976	-22.117483	2.381845
126	961.846149	6.113386	-23.227673	6.145762	-24.327899	6.060639	-22.124412	2.32128
126	961.082172	8.908769	-23.201052	8.94864	-24.300391	8.84909	-22.098862	2.264915
126	960.318196	11.6366	-23.14406	11.683761	-24.242338	11.570156	-22.043086	2.212268
126	959.55422	14.301178	-23.058697	14.355435	-24.155752	14.228127	-21.959073	2.162931
126	958.790243	16.906337	-22.94674	16.967509	-24.042423	16.826829	-21.848593	2.116553
127	958.790243	-12.091548	-24.941075	-12.109292	-26.038761	-12.098563	-23.838391	2.767504
127	958.038251	-8.793283	-25.150776	-8.802	-26.248986	-8.808441	-24.048009	2.675689
127	957.286259	-5.602122	-25.311362	-5.602133	-26.409804	-5.625174	-24.20875	2.592236
127	956.534266	-2.508696	-25.427345	-2.500293	-26.525753	-2.539411	-24.3251	2.51593
127	955.782274	0.495043	-25.502571	0.51159	-26.600705	0.456879	-24.400888	2.445789
127	955.030282	3.416066	-25.54035	3.440509	-26.637991	3.370652	-24.43941	2.381007
127	954.278289	6.260462	-25.543555	6.292567	-26.640501	6.207985	-24.443523	2.320919
127	953.526297	9.033578	-25.514697	9.07313	-26.610763	8.974213	-24.415725	2.264967
127	952.774305	11.740145	-25.455982	11.786941	-26.550996	11.674058	-24.358214	2.21268
127	952.022312	14.384368	-25.369362	14.438217	-26.463166	14.311715	-24.272931	2.163659
127	951.27032	16.970003	-25.256575	17.030725	-26.34902	16.890931	-24.161605	2.11756
